name,address,categories,description,services,email,pops_served,hand_sort__001,crisis_line,business_line,fax_number,insurance ,cost,languages,website,hand_sort__002,hand_sort__003,hand_sort__004,hand_sort__005,hand_sort__006,hand_sort__007,hand_sort__008,hand_sort__009,hand_sort__010,hand_sort__011,hand_sort__012,hand_sort__013,hand_sort__014,hand_sort__015,hand_sort__016,hand_sort__017,hand_sort__018,hand_sort__019,languges,wheelchair
Jewish Community Information & Referral,121 Steuart St. San Francisco 94105,Hotlines,"Free, confidential telephone service (Gail Green) sponsored by the SF -based Jewish Community Federation that provides up-to- date information and referrals to Jewish life and",Wheelchair Accessible: Yes,JewishNfo@sfict.org,This entry needs a populations served list,188,,,,,,,,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-777-4545,9-5 M-F,All,,"Hebrew, Russian",,,,,,,,,,,"Hebrew, Russian",This entry needs Wheelchair accessibliy info
Jewish Family and Children‰Ûªs Services,2150 Post Street San Francisco CA 94115,HIV/AIDS Emergency Needs Survivors with Disabilitie,This entry needs a description,This entry needs a services list,,"Children, adults seniors.",189,,,,,,,www.jfcs.org,Fees: Hours: Ages:,$30-90,Varies All,,"Assistance for homeless Jewish persons. Psychotherapy/ psycho- education/groups/prevention classes, AIDS services to Jewish people. Disability services to",Yes,Jewish people.,"Hebrew, Russian",,,,,,,,,,,"Hebrew, Russian",Yes
Jewish Vocational Services,225 Bush St. # 400 San Francisco CA 94104,Employment,JVS assists individuals and companies in achieving their employment goals by providing the skills necessary for success in today‰Ûªs workplace,This entry needs a services list,hire@jvs.org,This entry needs a populations served list,190,,,,,,,www.jvs.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-391-3600,415-391-2846,Varies 9-5 M-F,All,,Many,,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Joe Healy Medical Detox,120 Page St San Francisco CA,Alcohol/Substance Ab,"Up to 21 day medical detox (alcohol, opiates) provide counseling and nurses. Will refer to further treatment if necessary","Women's Drug Rehabs, Drug Rehabs for Spanish Speakers, Residential Drug Treatment Centers, HIV/AIDS",This entry needs an email address,homeless and uninsured,191,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-414-0171,415-864-2086,FREE 24/7,18+,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Joseph & Herzfeld LLP,757 Third Ave. New York NY 10017,Legal: Attorney,"Small employee rights firm with nationwide service. Handle discrimination, retaliation, and sexual harassment cases in the workplace ONLY.",This entry needs a services list,marguerite@jhllp.com,This entry needs a populations served list,192,,,,,,,www.jhllp.com,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,866-348-7394,212-688-2548,Varies,6am-5pm M-F,,"Spanish, French",,,,,,,,,,"Spanish, French",This entry needs Wheelchair accessibliy info
"Joy Gamble, MFT",4216 18th St San Francisco CA 94114,Counseling: Licensed,"Wide range of clients with a wide range of problems. Individual, couple, family and sometimes group work.",This entry needs a services list,This entry needs an email address,"Families, children and adolescents.",193,,,,,,,E-mail,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-863-0368,Yes,Sliding scale Varies,5+,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
"Kathy Labriola, Counselor, RN",1307 Universe Ave. Berkeley CA 94702,Survivors with Disabilitie Somatic Healing Counseling: Licensed,"Counselor, nurse, hypno-therapist. Provide these services and couples‰Ûª counseling primarily for low-income and working class people.",Support group for people living with disabilities; short-term support/discussion group for people in non-traditional relationships; hypnotherapy & relaxation audiotapes,This entry needs an email address,Adult & child sexual assault; ritual abuse; people being stalked; Others,195,,,,,,,E-mail,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-841-5307,No,$20-60/session,18+,,Wheelchair Accessible: Languages,N/A.,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
"Kimberly Porter, MFT","4287 Piedmont Ave, #107 Oakland CA 94611",Counseling: Licensed Ritual Abuse,Therapist works with women who have dissociative identity disorder. Therapist is a multiple who works with multiples.,This entry needs a services list,This entry needs an email address,Women,196,,,,,,,E-mail,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-428-2208,Varies 18+,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
King American Ambulance,San Francisco CA,24hr Services,Hospital transportation for MediCal clients.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,197,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-931-1400,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Korean Multi-Service Center,1362 Post St San Francisco CA 94109,Immigrant Asian/Pacific Islander Employment,Offers a myriad of services to a diverse cross- section of people,"Vocational education services for job training program clients, ESL, Meal programs, Trips, Social hours, Lectures, etc.",info@koreancentersf.org,Korean,198,,,,,,,www.koreancentersf.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-441-1881,415-885-4155,$10/unit,8:30-5:30 M-F,All,,Wheelchair Accessible: Yes,"Korean, Russian",,,,,,,,"Korean, Russian",This entry needs Wheelchair accessibliy info
Kusum Crimmel,2514 Ivy Drive Oakland CA 94606,This entry needs a categories list,deep tissue massage alt #: (510) 832-3676,"I can come to people's homes, but my home is not wheelchair accessible",kusumi16@yahoo.com,All,199,,,,,,,,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,(510) 220-1589,$40-50/hr,Varied All,,English,Body Work,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
La Casa de Las Madres,"1663 Mission Street, Suite 225 San Francisco CA 94103",Support Groups Domestic Violence Hotlines,No documentation required.,"24 hr crisis line, emergency shelter, drop-in counseling for battered women and their children. Peer support groups, advocacy, referrals, child care, emergency food, clothing,",,"Women (18+) and their children, pregnant women, lesbians",200,,,,,,,www.lacasadelasmadres.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,877-503-1850,415-503-0500,415-503-0301,N/A FREE,9-5 M-F,All,,Yes,"job training, child care.",Spanish,,,,,,Spanish,Yes
La Casa de Las Madres: Support Group,"1663 Mission Street, Suite 225 San Francisco CA 94103",Latina Support Groups Domestic Violence,"Free support group on domestic violence, for English speaking women, and Spanish speaking, on going / drop in basis,.",This entry needs a services list,info@lacasa.org,This entry needs a populations served list,201,,,,,,,www.lacasa.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,877-503-1850,415-503-0500,415-777-1348,FREE,,Spanish,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
La Familia Counseling Center,26081 Mocine Ave. Hayward CA 94544,Counseling: Licensed Latina,"Counseling Program, day treatment for families. Adoption program..","Culturally specific, bilingual /bicultural staff.",SLCSZ000@aol.com,This entry needs a populations served list,202,,,,,,,,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-881-5921,510-881-5925,Varies Varies,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
La Raza Centro Legal,474 Valencia St. Suite #295 San Francisco CA 94103,Legal: Services Legal: Attorney Latina,Law offices. No documentation required.,"Focus on immigration, housing, employments discrimination, wage claims. Will give advice & represent in court. Senior law, youth law, citizenship.",This entry needs an email address,This entry needs a populations served list,203,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-575-3500,415-255-7593,N/A Donation,"9-12, 1-5 M-F",All,,Wheelchair Accessible: Yes,Spanish,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
"Laine Demtria, M.S., MFT","2120 Market St., #209 San Francisco CA 94114",Counseling: Licensed,Services:,This entry needs a services list,demetria@mcn.org,This entry needs a populations served list,204,,,,,,,,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-705-0776,,Wheelchair Accessible: Languages,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Larkin Street Youth Center,"701 Sutter Street, Suite 2 San Francisco CA 94109",Youth Emergency Needs Housing/Shelter,Drop in center for homeless & runaway youth. No documentation required.,"Medical clinic will test for STD‰Ûªs, provide care if a woman has been assaulted. Provides food, showers, clothes, laundry, counseling, case management, referrals, medical clinic,",mail@larkinstreetyouth.org,This entry needs a populations served list,205,,,,,,,www.larkinstreetyouth.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-673-0911,415-749-3838,FREE,9:30am-9:30pm 12-17,,Spanish,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Latino Family Alcoholism Center,820 Valencia St. San Francisco CA 94110,Support Groups Latina Alcohol/Substance Ab,"Outpatient, culturally relevant program for people seeking counseling for substance abuse.No documentation required.","Have separate support groups for men and women. Domestic violence, anger management.",,Latino/ all,206,,,,,,,www.missioncouncil.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-826-6767,415-826-6774,No,Sliding scale 9-5 M-F,18+,,Wheelchair Accessible: Yes,Spanish,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Laurel Jujitsu,4148 Mac Arthur Blvd. Oakland CA 94619,Self Defense,Services:,This entry needs a services list,,teens,207,,,,,,,www.laureljujitsu.com,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-530-5043,Varies,Varies 10-80,,Self defense & martial arts (Jujitsu) classes for women & girls. Yoga and Judo classes also offered. 1-2 hr workshops /presentation about personal safety.,"Spanish, Mandarin",,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Lawyers' Committee for Civil Rights,"131 Steuart Street, Suite 400 San Francisco CA 94105",Social Justice Legal: Attorney African American/Blac,"Champions the legal rights of people of color, poor people, immigrants and refugees, with a special commitment to African-Americans",This entry needs a services list,info@lccr.com,"African American/Black, All",208,,,,,,,www.lccr.com,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-543-9444,415-543-0296,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Lee Woodward Counseling Center,2201 Sutter St. San Francisco CA 94115,Significant Others Alcohol/Substance Abu Support Groups,A program of Asian American Recovery Services.,"Group intake orientation, pretreatment counseling, day recovery program, continuing care, parenting education, therapeutic childcare, AA meeting with free childcare,",,This entry needs a populations served list,209,,,,,,,www.aars-inc.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-776-1001,415-776-1066,Sliding scale 8-4:30 M-F,18+,,Yes,family and significant others,"Spanish, Chinese, Korean, Vietnamese",,,,,,,,"Spanish, Chinese, Korean, Vietnamese",Yes
Legal Assistance to the Elderly,995 Market St Fl 14 San Francisco CA 94102,Legal: Services Elders (55+),Law office which provides free legal services for SF residents 60 & over. No documentation required.,"Work with wills, tenant rights, restraining orders, Social Security /SSI, Medicare, Medi-cal, Consumers & Debt collection issues. TRO. Adult protective services.",This entry needs an email address,Victims of Physical Abuse age Sixty and over,210,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-538-3333,FREE,"9-12, 1-5 M-F",60+,,Wheelchair Accessible: Yes,"Spanish, Mandarin, Cantonese",,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Legal Services for Children,"1254 Market St., 3rd Floor San Francisco CA 94102",Youth Legal: Attorney Legal: Services,"Non-profit law offices providing legal advice/representation and social services for youth under 18. Free, comprehensive, confidential, legal & social representation.","Specializes in services to HIV infected families. Also give referrals, information, will represent youth in court.",,Children & Youth,211,,,,,,,www.lsc-sf.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-863-3762,415-863-7708,FREE,9-5 M-F,<18,,Wheelchair Accessible: Yes,"Spanish, Varies",,,,,,,,"Spanish, Varies",This entry needs Wheelchair accessibliy info
Legal Services For Prisoners Wth Children (LSPC),"1540 Market St., Suite 490 San Francisco CA",Incarcerated Legal: Services Significant Others,"Advocate for the civil rights and empowerment of incarcerated parents, children, family members","Publish manuals: Incarcerated Parents Manual, Manual for Grandparent-Relative Caregivers and Their Advocate, Transportation to Court, and, Suing a Local Public Entity.",info@prisonerswithchildren.org,Persons incarcerated in California and their family members.,212,,,,,,,www.prisonerswithchildren.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-255-7036,415-552-3150,FREE,9-5 M-F,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Lesbian and Gay Immigration Taskforce,870 Market St. Ste. 370 San Francisco CA 94102,Immigrant LGBTQII Legal: Attorney,This entry needs a description,This entry needs a services list,info@nclrights.org,Populations served include LGBTQQII and Straight people,213,,,,,,,www.nclrights.org,Fees: Hours: Ages:,FREE,9-5 M-F,All,,"Has services for people in bi-national relationships and for people that are afraid to return to their native country. Offers information, free legal clinics, group meetings, and attorney",Yes,referrals.,Spanish,,,,,,,,,,Spanish,Yes
Lesbian Therapy Referral,1806 Martin Luther King Jr. Way Berkeley CA 94709,Support Groups Counseling: Licensed,"Provides referrals to diverse group of therapists in cultural and sexual orientations, also provide referrals to support groups",Wheelchair Accessible: Yes,This entry needs an email address,This entry needs a populations served list,214,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-486-1662,510-548-8855,N/A FREE,,Spanish,,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
"Linda Sue Edwards, M.S., MFT",1736 Divisadero San Francisco CA 94115,Counseling: Licensed Child Sexual Abuse,"Working with adult individuals, couples, and children. Long and short term therapy for relationship issues, incest, co dependency, grief/ loss, self esteem",This entry needs a services list,This entry needs an email address,This entry needs a populations served list,215,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-931-1928,$30-80,Varies,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Linea Nocturna (Spanish),660 Market St San Francisco 9410,Latina Suicide Hotlines,Spanish suicide prevention hotline.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,216,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-303-SIDA,FREE,6pm-12:00am All,,Spanish,,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Literacy for Environmental Justice (LEJ),800 Innes Ave #11 San Francisco CA 94124,Youth Social Justice,Addresses the ecological and health concerns of Bayview Hunters Point and the surrounding communities of southeast San Francisco,"Provide paid internships to Bayview Hunters Point youth in environmental health, natural ecology, and food security, and offer free hands-on environmental educational programs",,All youth,217,,,,,,,www.lejyouth.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-282-6840,415-282-6839,FREE,10-6 M-F,<18,,Yes,"to schools, colleges and youth programs","Spanish, Tagalog, French",,,,,,,"Spanish, Tagalog, French",Yes
Liu Hoi Man,"810 Gonzalez Dr., 7J San Francisco CA 94132",This entry needs a categories list,Somatics healing work and therapeutic bodywork. Focusing on healing personal and social trauma.,Wheelchair Accessible: Yes,liuhoiman@yahoo.com,"LGBT, immigrants",218,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415- 297-1987,No,$80 SS,adults,,English and Cantonese,Somatic Healing LGBTQII Immigrant,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Lotus,"1811 N.E., 39th Ave. Portland OR 97212",Sex Workers,"Organization which helps sex workers get out of the industry. Women can call collect, and they will help them get to Oregon. No documentation required.",This entry needs a services list,This entry needs an email address,This entry needs a populations served list,219,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,503-282-1082,FREE,9-5 M-F,All,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Lutheran Care for the Aging,1031 Franklin St. San Francisco CA 94109,Elders (55+) Housing/Shelter,Housing assistance from rent subsidies to one- time grants to seniors.,This entry needs a services list,This entry needs an email address,seniors,220,,,,,,,E-mail,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-441-7777,FREE,8am-12pm M-F 58+,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Lyon-Martin Women‰Ûªs Health Services,1748 Market St. Suite #201 San Francisco CA 94102,This entry needs a categories list,Access to healthcare for all women,"Primary care, gynecology, primary care for HIV+ women, breast cancer early detection, support groups, community forums, healthcare for the homeless, gender reassignment, smoking",,"All women with a focus on lesbians, women of color, low income, older women and",221,,,,,,,www.sfccc.org/clinics/lmwhs.ht Categories:,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-565-7667,415-252-7490,Yes,Sliding Scale,Varies 18+/Emancipated,,Yes,"cessation classes, substance abuse education",Spanish,m,Health Clinics HIV/AIDS,,,,,Spanish,Yes
LYRIC (Lavender Youth Recreation & Information Center),127 Collingwood St. San Francisco CA 94114,Youth LGBTQII,Community center for GLBTQA youth,"Women‰Ûªs and men‰Ûªs groups. (Outside of Bay Area call 1-800-246 PRIDE), volunteer training, peer health education, academic tutoring, after school programs, job training, leadership",lyricinfo@lyric.org,"All lesbian, bisexual, transgender & questioning youth",222,,,,,,,www.lyric.org,,,Insurance: Fees: Hours: Ages:,N/A FREE,10-6 M-F,<24,"Spanish, Tagalog, Hebrew, ASL",,,,,,,,,,,,"Spanish, Tagalog, Hebrew, ASL",This entry needs Wheelchair accessibliy info
Magnet - Check Your Dipstick,4122 18th St. San Francisco CA 94114,Health Clinics,Health Center,"Confidential STD services, HIV testing, anonymous HIV testing",info@magnetsf.org,This entry needs a populations served list,223,,,,,,,www.magnetsf.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-581-1600,415-581-1610,Varies,,Wheelchair Accessible: Languages,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
ManKind at Marin Abused Women‰Ûªs Services,"25 Bellam Blvd, Suite 222 San Rafael CA 94901",Perpetrators,Program for male batterers.,No documentation required. No special program for gay batterers. Must be clean and sober or in substance abuse program.,mowens@maws.org,16-77 (Males),224,,,,,,,www.maws.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-924-1070,415-457-6760,415-457-6457,Sliding Scale Varies,16-77,,Wheelchair Accessible: Yes,Spanish,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Marin Abused Women‰Ûªs Services,734 A St. San Rafael CA 94901,Domestic Violence Housing/Shelter Counseling: Peer,Services for battered women and their children.,"Emergency shelter, transitional housing, drop-in & closed groups, individual counseling, referrals, group for battered lesbians",contact@maws.org,Accepts pregnant women,225,,,,,,,www.maws.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-924-6616,415-457-2464,415-457-6457,415-457-2424,No,Sliding Scale 9-5 M-F,Varies,,Wheelchair Accessible: Yes,Spanish,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Marina Counseling Center,2137 Lombard St. San Francisco CA 94123,Counseling: Licensed,"Provides couselling to adults, couples, families and adolescents who are survivors of abuse and/or trauma",This entry needs a services list,,This entry needs a populations served list,226,,,,,,,www.marinacounseling.com,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-563-2137,415-583-2158,Yes,$25-$100,8am-10pm M-F All,,"Spanish, Hindi, Hebrew, French, ASL",,,,,,,,,"Spanish, Hindi, Hebrew, French, ASL",This entry needs Wheelchair accessibliy info
Martin de Porres House of Hospitality,225 Potrero Ave San Francisco CA 94103,Emergency Needs,"Serves a hot meal to anyone. Menu consists of soup, salad and bread at lunch and oatmeal and tea at breakfast.",This entry needs a services list,info@martindeporres.org,This entry needs a populations served list,227,,,,,,,www.martindeporres.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-552-0240,FREE,Varies All,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
McAuley Institute (St. Mary‰Ûªs Hospital),2200 Hayes St. San Francisco CA 94117,This entry needs a categories list,Individual and group counseling for youth and adults. Outpatient services are non-crisis.,Wheelchair Accessible: Yes,This entry needs an email address,This entry needs a populations served list,228,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-750-5649,415-750-4845,Yes,Sliding Scale 24/7,,"Inpatient services must be evaluated for, go to the emergency room. Guardians permission","Spanish, French, Mandarin",Counseling: Licensed Support Groups,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Media Watch,PO Box 618 Santa Cruz CA 95061,This entry needs a categories list,"Feminist Media Critique and action group. Challenging racism, sexism, and violence in the media through education and direct action.",This entry needs a services list,info@mediawatch.com,This entry needs a populations served list,229,,,,,,,www.mediawatch.com Categories:,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,831-423-6355,,Social Justice,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Medical Board of California,"2005 Evergreen St, Suite 1200 Sacramento CA 95815",Counseling: Licensed Legal: Services,"To report abuse by a doctor, psychiatrist or psychologist.",Complaint Line: 1-800-633-2322,webmaster@medbd.ca.gov,This entry needs a populations served list,230,,,,,,,www.medbd.ca.gov,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,916-263-2382,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Men‰Ûªs Center for Counseling and Psychotherapy,2925 Shattuck Ave. Berkeley CA 94705,Counseling: Licensed,Counseling and psychotherapy for men,"Grief and Depression, Relationship and Intimacy, Anger, Life Transitions, Work Stress, Family and Fatherhood, Sexuality and Body- Related Issues, Communication Skills, Addictions",,"Men, both survivors and perpetrators",231,,,,,,,www.psychotherapist.com/me nscenter/,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-644-8262,$35/week Evenings,,Wheelchair Accessible: Languages,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Men's Nonviolence Project,232,This entry needs a categories list,Seeks to encourage men to take an active role in ending men‰Ûªs violence against women.,"Provides information, resources, and connections to inspire and support the involvement of men and boys in preventing domestic violence.",,This entry needs a populations served list,TX,,,,,,,http://www.tcfv.org/nulceus/m Categories:,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,Wheelchair Accessible: Languages,,np php,Male Survivors,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Mid-Peninsula Rape Crisis Center (YWCA),4161 Alma St. Palo Alto CA 94306,CA Rape Crisis Center,"Provide services for survivors of rape, incest, sexual assault, and childhood sexual abuse, their friends and family","Community presentations and speakers, individual and group counseling, self-defense classes, community outreach",This entry needs an email address,"Euro-American, African American, Latino American, Asian American",233,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,650-493-7273,650-494-0993,650-494-8307,Sliding scale 9-5 M-F,All,,Wheelchair Accessible: Yes,"Spanish, French, materials in braile",,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
"Mission Child, Adolescent & Family Service Center",3801 3rd St San Francisco CA 94124,Counseling: Licensed,Outpatient counseling for children (up to 18) & families.,Individual and group counseling. No documentation required.,This entry needs an email address,This entry needs a populations served list,234,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-970-3800,415-695-6955,415-695-6963,Yes,Sliding scale 9-5 M-F,<18,,Wheelchair Accessible: Yes,Spanish,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Mission Children‰Ûªs Day Treatment Program,3801 3rd St. San Francisco CA 94124,Youth Counseling: Licensed,General outpatient counseling (individual & group) for youth. No documentation required. Must have guardian permission.,"Individual and group counseling, parenting classes. Drop-in for preschool kids.",This entry needs an email address,This entry needs a populations served list,235,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-695-6955,415-695-6963,Sliding scale 8-5 M-F,<18,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Mission Council on Alcohol Abuse for the Spanish Speaki,820 Valencia San Francisco CA 94110,Alcohol/Substance Ab Latina Adult Survivors of CSA/,Outpatient program for substance abusers. No documentation required.,"Individual, group, family counseling. Group for male batterers, Adult survivors of child abuse group meeting",chavezlc@aol.com,SF residents only.,236,,,,,,,www.missioncouncil.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-826-6767,415-826-6774,Yes,Sliding scale Varies,18+,,Spanish,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Mission Neighborhood Center,362 Capp St. San Francisco CA 94110,Elders (55+) Youth Social Justice,Various services for Mission District residents of San Francisco,"Comprehensive preschool program, trainings/workshops and resource and referral services, senior program, ESL classes",info@mncsf.org,"Low income, Mission District residents",237,,,,,,,www.mncsf.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-206-7756,415-206-7747,415-647-6911,FREE,8:30-5 M-F,All,,Wheelchair Accessible: Yes,Spanish,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Mission Neighborhood Centers Youth Programs,534 Precita Ave. San Francisco CA,Youth,This entry needs a description,This entry needs a services list,,This entry needs a populations served list,238,,,,,,,www.mncsf.org/youth.html,Fees: Hours: Ages:,Varies 9-7 M-F,23-Jun,,"Case management, GED programs, gender specific after school / summer, year round support groups for girls, advocacy for youth on probation, outreach programs",Wheelchair Accessible: Varies,Spanish,,,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Mission Neighborhood Health Center,240 Shotwell St San Francisco CA 94110,Health Clinics HIV/AIDS,"Provides general medical care, including AIDS, STD & Pregnancy testing. ID required.","Offers senior services and lab tests, AIDS, STD, Pregnancy testing",info@mnhc.org,This entry needs a populations served list,239,,,,,,,,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-552-1013,415-431-3178,Yes,Sliding scale 8:30-5:30 M-F,All,,Many,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Mobile Assistance Patrol,1446 Market St. San Francisco CA 94102,This entry needs a categories list,Transportation services.,Provides transportation to substance abuse services within the detox system. Provides shelter transportation.,info@catsinc.org,Homeless Population,240,,,,,,,www.careforhomeless.org/servi Categories:,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-431-7400,415-291-1193,N/A FREE 24/7,18+,,Wheelchair Accessible: Yes,Spanish,ces/map html,Transportation Alcohol/Substance Abu Housing/Shelter,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Monterey Rape Crisis Center,PO BOX 2630 Monterey CA 93942,CA Rape Crisis Center,CA Rape Crisis Center,"Prevention programs, advocacy, community education, individual/group therapy, support groups for survivors of childhood sexual abuse, drop-in groups, and self-defense classes",mrcc@mbay.net,This entry needs a populations served list,241,,,,,,,www.mtryrapecrisis.org,,,Insurance: Fees: Hours: Ages:,Yes,Sliding Scale 9-5 M-F,13+,Wheelchair Accessible: Yes,"Spanish , materials in braile",,,,,,,,,,,"Spanish , materials in braile",This entry needs Wheelchair accessibliy info
