name,description,categories,crisisLine,businessLine,website,email,address,fax,cityState,payment,zip,accessibility,hours,languages
"Friendship House Association of American Indians, Inc.","Emphasis on culturally relevant approach. No documentation required. Outpatient and inpatient treatment and prevention program for recovery from drugs and alcohol. Has women's support groups. Must be drug-free 72 hrs. Serves clients ages 18-65, Native American, Pregnant women.","Substance Abuse, Native American/Indigenous, Support Groups, Counseling: Licensed",,415-865-0964,friendshiphousesf.org,info@friendshiphousesf.org,56 Julian Avenue,415-865-5428,"San Francisco, CA","Private insurance, Sliding scale",94103,Wheelchair,M-F 9am-4pm,Navajo
Friendship House: American Indian Lodge,"Residential treatment center for women overcoming alcohol/drug abuse; 12 month program. No documentation required. Provides legal services, child care. Outreach, aftercare, special events. Child counseling available. Serves Native American women with small children, and all women with small children (<5 and 18+).","Native American/Indigenous, Substance Abuse, Counseling: Licensed",,510-535-7100,friendshiphousesf.org,,1815 39th Ave.,5105353445,"Oakland, CA","Private insurance, Sliding scale",94601,,M-F 8-5,various Native American languages
Friendship Line,"Suicide hot line for people over 55. Provides emotional support, especially grief- related.","Elders (55+), Suicide, Hotlines",800-971-0016,415-752-3778,ioaging.org/services-for-elders-and-care-givers/friendship-line,friendshipline@ioaging.org,3575 Geary Blvd.,415-7505337,"San Francisco, CA",Free,94118,,24/7,
Futures Without Violence,"The Family Violence Prevention Fund (FVPF) is a national nonprofit organization focusing on domestic violence prevention, education, and public policy reform. TDD: 800-595-4889","Domestic Violence, TDD",,415-678-5500,futurewithoutviolence.org,info@futurewithoutviolence.org,100 Montgomery St,415-529-2930,"San Francisco, CA",,94129,Wheelchair,M-F 9am-5pm,"SPA, TGL, CHI"
Gay and Lesbian Alliance Against Defamation,Eliminating homophobia and discrimination based on gender identity and sexual orientation. Services include promoting and ensuring accurate and inclusive representation of people and events in the media.,LGBQQ,,323-933-2240,glaad.org,www.glaad.org/contact,"5455 Wilshire Blvd, #1500",323-933-2241,"Los Angeles, CA",,90036,,M-F 9-6,
Gay Asian Pacific Alliance,Non-profit agency serving Asian/Pacific islander lesbian/bi/gay/transgendered community.,"LGBQQ, Asian/Pacific Islander",,,gapa.org,info@gapa.org,PO BOX 421884,510-783-4175,"San Francisco, CA",Free,94142,,M-F 9am-6pm,"VIE, CHI, TGL"
General Assistance Advocacy Project,"Legal advocacy for SSIP, PAES, CALM, food stamps, and SSI related matters. G.A.A.P. also offers computers and phones for client use and acts as a phone message center. Serves homeless and marginally housed adults.",Legal: Services,,415-928-8191,gaap.org,,276 Golden Gate,415-928-1410,"San Francisco, CA",Free,94102,Wheelchair,"M, T, TH, F 9-12",
Girls Incorporated of Alameda County,"Girls Inc. of Alameda county is a local affiliate of a national non-profit org. dedicated to inspiring all girls to be strong, smart, and bold. Serves youth ages 6- 18, girls and young women, also adults and boys through Pathways Counseling Center.","Youth, Children (12-)",,510-357-5515,girlsinc-alameda.org,www.girlsinc-alameda.org,510 16th Street,510-357-5112,"Oakland, CA",,94612,,M-F 9am-5pm,SPA
Glide Health Clinic,"Provides free urgent and primary health care services to the Tenderloin Neighborhood. Services include episodic care, chronic care, urgent care, women's health, pediatric services, adult health care maintenance and preventive care, mental health services, dental, vision",Medical/Health Services,,415-674-6140,glide.org,info@glide.org,"330 Ellis St., 6th Floor",415-673-1037,"San Francisco, CA",Free,94102,Wheelchair,M-F 8am-5pm,
Glide Memorial Church - Employment and Job Training,"Provides general job training, work skills, and offers courses in resume writing, conflict resolution, career assessment, and computer skills, and welcomes trans people.","Job/Employment Services, LGBQQ",,415-674-6000,glide.org,info@glide.org,330 Ellis St.,,"San Francisco, CA",,94102,Wheelchair,,
Glide Womens Center,Drop in group: Women on the move survivors and perpertrators; For men who batter: Men in Progress. Services include 9-10:30 Drop in group entry point. Men In Progress group Mon. 3-6p,"Support Groups, Counseling: Peer, Domestic Violence, Perpetrators",,415-674-6023,glide.org,info@glide.org,330 Ellis St. Rm 101A,,"San Francisco, CA",Free,94102,,,
Good Samaritan Family Resource Center,Good Samaritan Family Resource Center is a non-profit organization located in the heart of the Mission District in San Francisco. Services include helping immigrant families transition. Serves Latino immigrant families.,"Immigrant Resources, Latina/o & Hispanic, Support Groups",,415-401-4253,goodsamfrc.org,goodsamfrc.org/index.php/en/about-good-samaritan-family-resource-center/contact-us,1294 Potero Ave.,415-824-9527,"San Francisco, CA",Free,94110,Wheelchair,M-F 9am-6pm,SPA
Haight Ashbury Free Medical Clinic,"Primary medical care. Services include referrals, condom & bleach distribution, pediatrics, podiatry, acupuncture and chiropractic",Medical/Health Services,,415-746-1940,hafci.org,,558 Clayton St.,415-431-9909,"San Francisco, CA",Free,94117,,M-F 8:45am-5pm,SPA M-F for daytime appts
Haight Ashbury Psychological Services,"Low-fee counseling. No dual recovery, clients must be 6 months clean & sober. No documentation required. Services include individual and group counseling.",Counseling: Licensed,,415-221-4211,hapsclinic.org/,staff@hapsclinic.org,2166 Hayes St. St 308,,"San Francisco, CA",$19-75,94117,,,VIE
Hamilton Family Center,Nationally recognized housing program that serves homeless families and families most at risk of becoming homeless.,Shelter/Transitional Housing,,415-409-2100,hamiltonfamilycenter.org,contact-us@hamiltonfamilycenter.org,1631 Hayes Street,,"San Francisco, CA",,94117,,,
Hamilton Family Residences & Emergency Center,"Emergency drop-in shelter for families. May stay up to 90 days.No documentation required. Must be clean and sober. Provide case management, meals, medical clinic, counseling (women's support groups), day care. Have services to deal with Domestic Violence and Stalking. Serves clients ages 18+. Accepts pregnant women.","Shelter/Transitional Housing, Emergency Services, Support Groups, 24-Hour Services",,415-292-9930,hamiltonfamilycenter.org,,260 Golden Gate Avenue,4153450471,"San Francisco, CA",Free,94102,,24/7,SPA
Haven Women's Center,CA Rape Crisis Center- Modesto,"CA Rape Crisis Center, Counseling: Peer, Domestic Violence, Legal: Services, Support Groups",209-577-5980,209-524-4331,hwcstan.squarespace.com/,,618 13th St.,209-524-2045,"Modesto, CA",Free,95354,Wheelchair,M-F 8:30am-4:30pm,"SPA, Translation Line for other languages"
Health Initiatives for Youth (HIFY),"Produces publications and information. Services include workshops in Self Esteem, Good Health, STD's, and Safer Sex, and empowering young women. Confidential, anonymous HIV testing for youth. Serves Bay Area youth ages 21-.","Youth, HIV/AIDS, Policy Advocacy",,415-274-1970,hify.org,info@hify.org,1550 Market Street,415-274-1976,"San Francisco, CA",,94102,Wheelchair,M-F 9am-5pm,"SPA, Varies"
Health Professionals Advancing LGBT Equality (formerly Gay & Lesbian Medical Association),"Gives referrals for lesbian, gay, bisexual and transgendered or LGBT-friendly physicians. Has research grants for lesbian health related issues thru the Lesbian Health Fund.","LGBQQ, Medical/Health Services",,202-600-8037,glma.org,info@glma.org,"1326 18th Street NW, Suite 22",202-478-1500,"Washington, DC,",Free,20036,,M-F 9am-5pm,SPA
HealthRight 360,"Programs, outpatient, primary care, and residential treatment for those with substance abuse and mental health conditions. Intake# 415- 934-3450. TDD: 415- 970-7577. Accepts SF residents or clients on state or federal parole.","Substance Abuse, TDD",,415-226-1775,healthright360.org,,1735 Mission St,,"San Francisco, CA",Sliding scale,94103,Wheelchair,,
healthright 360 (formerly Haight Ashbury Free Clinics - Walden House),TDD: 415-558-8366,"Medical/Health Services, TDD",,415-762-3700,healthright360.org,www.healthright360.org/contact,1735 Mission Street,,"San Francisco, CA",Sliding scale,94103,Wheelchair,M-F 8:45am-5pm,
Henry Ohlhoff Recovery Programs,"Counseling program for adults, adolescents and families with chemical dependency and eating disorders. No guardians required for adolescents 13 yrs +. Services include community presentations/school talks in community, fully structured programs, education and prevention groups, and general individual and family counseling available. Special emphasis on alcohol/substance abuse and eating disorder populations. Toll-free 877-477-4543","Substance Abuse, Counseling: Licensed",,415-621-4388,ohlhoff.org,info@ohlhoff.org,601 Steiner St.,4156214414,"San Francisco, CA","Private insurance, Sliding scale",94117,,M-F 9am-5pm,
"Highland Hospital Sexual Assault Response Team, Alameda Health System (formerly Alameda County Medical Center)",Highland Sexual Assault Response Team. Serves residents of Oakland. Back up for BAWAR/Tri-Valley residents.,"CA Rape Crisis Center, 24-Hour Services",510-534-9290,510-534-9291,highlandahs.org/our-services/specialty-services/medical-counseling,,1411 East 31st Street,510-437-8313,"Oakland, CA",Free,94602,,24/7,
Homeless Advocacy Project,"Attorneys, legal interns, and volunteers offer legal assistance to persons who are homeless or dealing with issues of homelessness in San Francisco .","Legal: Attorney, Legal: Services, Hotlines",800-405-4427,415-575-3130,,,"1360 Mission St., #201",415-575-3132,"San Francisco, CA",Free,94103,,"T-F 9:30-12, 1-5",
Homeless Prenatal Program,"Program for women. Provides referrals to resources, support groups, case management, pregnancy test, information about shelters, help with CalWorks and Medical benefits, support for domestic violence. Serves homeless, pregnant women, substance abusers, women with children. Intake Hours M-W 9:30-10:30 Th 1-2:30","Support Groups, Domestic Violence, Substance Abuse, Housing Assistance",,415-546-6756,homelessprenatal.org,info@homelessprenatal.org,2500 18th St.,415-546-6778,"San Francisco, CA",Free,94112,Wheelchair,M-Th 9am-4pm,SPA
Hospitality House,"Program for homeless & runaway youth. No documentation required. Provides free breakfast/lunch. Support groups for sex workers, Latino youth. Shelter (up to one year), food, clothing, substance abuse, HIV & crisis counseling, case management, employment program, day school, referrals, street outreach. Serves homeless and runaway youth ages 15+, pregnant women.","Youth, Support Groups",,415-749-2100,hospitalityhouse.org,info@hospitalityhouse.org,290 Turk St.,415-749-2136,"San Francisco, CA",Free,94102,Wheelchair,M-F 9am-5pm,SPA
Huckleberry Youth Health Center (formerly Cole Street Clinic),"Free medical clinic for youth ages 12-24. Provides primary medical care (including pregnancy testing) as well as individual counseling, peer education, and case management. Also services for HIV+ youth up to age 24. 24/7 Hotline. TDD: 800-735-2929","Youth, Medical/Health Services, 24-Hour Services, TDD",415-621-2929,415-386-9398,huckleberryyouth.org,,555 Cole St,415-386-8212,"San Francisco, CA",Free,94117,Wheelchair,"M/W/F 9:30am-5pm (by appointment), Tu 2pm-5pm (drop-in), Th 2pm-6pm (drop- in)",SPA
Human Response Network,Rape crisis center for Trinity County.,CA Rape Crisis Center,530-623-4357,530-623-2024,humanresponsenetwork.org,hrn@tcoek12.org,"P.O. Box 2370, 111 Mountain",530-623-6343 View St.,"Weaverville, CA",,96093,,,
Immigrant Assistance Line,"Informations and referral service on immigration issues, discrimination complaints, questions on health care, school etc. No clients or direct services. Phone only. SPA/ENG hotline: 415-543-6769, CAN/CHI hotline: 415-543-5769","Hotlines, See description, Immigrant Resources",,,,,221 Main St # 300,415-856-0905,"San Francisco, CA",Free,94105,,M-Th 8am-2pm,
Impact Bay Area,Intensive self defense training that teaches women to knock out assailants. All levels of experience are welcome. Special classes for teens ages 13+ and sex workers. Scholarships available for low income women and teen girls.,Self-Defense,,510-208-0474,impactbayarea.org,info@impactbayarea.org,PO Box 23831,510-208-0475,"Oakland, CA",$35-$95.,94623,,M-F 10am-5pm,
"Incest Survivors Group (Joy Gamble, M.S.)","Group therapy run by private therapist, Joy Gamble. To be in this group you must be in individual therapy. Be prepared for an initial screening intake interview and to commit to 8-12 weekly group meetings. Serves women only.","Support Groups, Child Sexual Abuse (Adult , Client), Counseling: Licensed",,415-863-0368,joygamblems.com,joy@joygamblems.com,4216 18th St.,,"San Francisco, CA",,94110,,,
Independent Living Resource Center,"Organization which provides disability rights advocacy. Presentations, technical assistance regarding access & discrimination issues, housing & benefits counseling, assistance assessing community services, attendant referrals, respite care, and drop-in peer counseling. TDD: 415-543-6698","Disability, Counseling: Peer, TDD",,415-543-6222,ilrcsf.org,info@ilrcsf.org,649 Mission St. 3rd Floor,415-543-6318,"San Francisco, CA",Free,94105,Wheelchair,"M-T 9am-4:30pm, F 9am-4pm",
InnVision Shelter Network (formerly Shelter Network),Organization providing a comprehensive network of housing and social services for the homeless residents of SF peninsula. Provides housing and support services for homeless families and individuals to re-establish self-sufficiency and to return to permanent homes of their own.,Shelter/Transitional Housing,800-774-3583,650-685-5880,shelternetwork.org,info@ivsn.org,181 Constitution Drive,650-685-5881,"Menlo Park, CA",Free,94025,,M-F 9am-5pm,"SPA, Varies"
Institute on Aging Elder Abuse Prevention Program,"No documentation required. Provides referrals, community education, counseling. Case review team investigates and assess claims of elder abuse. Toll Free crisis line 800-971-0016. TDD: 877-750-4111","Elders (55+), TDD",415-752-3778,415-750-4111,ioaging.org,info@ioaging.org,3575 Geary Boulevard,415-750-5337,"San Francisco, CA",Free,94118,Wheelchair,M-F 8am-5pm,
"Instituto Familiar De La Raza, Inc.","Bicultural clinic serving primarily Latina/o community. No documentation required. Affiliated with Latino AIDS Education Project, provides individual, group, family counseling, medical help. Runs mental health workshops, parenting groups, refers out to community services. Must be SF resident and not privately insured.","Counseling: Licensed, Latina/o & Hispanic",,415-229-0500,ifrsf.org,info@ifrsf.org,2919 Mission St,415-647-0740,"San Francisco, CA","Private insurance, Sliding scale",94110,Wheelchair,M-F 9am-5pm,SPA
Integral Counseling Center,"Individual , family, couples, and group counseling, traditional and holistic emphasis. No documentation required. Coming out group for lesbians and gays. Often have support groups for incest, women's issues, groups vary.","Counseling: Licensed, Support Groups",,415-648-2644,integralcounselingcenter.org,,1782 Church Street,,"San Francisco, CA","Private insurance, Sliding scale",94131,,,"SPA, Varies"
Intercounty Fellowship of Alcoholics Anonymous,12-step peer support group for alcoholics. Daily meetings in San Francisco and Marin can be found on the website.,"Substance Abuse, Support Groups",,415-647-1821,aasf.org,aa@aasf.org,1821 Sacramento Street,,"San Francisco, CA",Free,94109,,"M-F 10am-6pm, Sa 10am-2pm",SPA
International Gay and Lesbian Human Rights Commission,IGLHRC works to protect and advance the human rights of all people and communities subject to discrimination.,"LGBQQ, Policy Advocacy",,212-430-6054,iglhrc.org,,80 Maiden Lane Ste 1505,212-430-6060,"New York, NY",Free,10038,Wheelchair,M-F 9am-5pm,SPA
Intertribal Friendship House,"Multi-service agency for Native Americans. No documentation required. Provides emergency food & clothing, help obtaining housing & employment. Also has youth program & senior center.","Native American/Indigenous, Elders (55+), Emergency Services",,510-836-1955,ifhurbanrez.org,,523 International Blvd,,"Oakland, CA",Free,94606,,M-F 9am-5pm,
"Janeen Smith, MFT","EMDR, Trauma, depression, anxiety, phobias, alcohol and drug use. Specializes in lesbian, gay, bisexual, and questioning youth and adults. Survivors of crime.","Counseling: Licensed, LGBQQ",,415-263-6783,jsmithmft.com/,http://jsmithmft.com/contact/,3882 24th St.,,"San Francisco, CA",,94114,,,
Janet Gee,Offers self-defense and martial arts classes at various locations throughout San Francisco.,Self-Defense,,415-252-7070,,janetgee1@gmail.com,PO Box 591450,415-252-7073,"San Francisco, CA",Free,94159,,,
"Jeanne Courtney, MFT",Feminist Psychotherapy. Offers workshops for partners of incest & sexual assault survivors. Serves survivors of adult & child sexual assault; LGBT; sex workers; people with eating disorders.,"Significant Others, Child Sexual Abuse (Child, Client) Counseling: Licensed",,510-516-4662,feministtherapyassociates.com,JeanneCourtneyMFT@gmail.com,P.O. Box 453,,"El Cerrito, CA","Sliding scale, Medical",94530,,M-F 9am-9pmby appointment,
Jewish Community Federation,"Free, confidential telephone service (Gail Green) that provides up-to-date information and referrals to Jewish life and resources",Hotlines,,415-777-0411,jewishfed.org,info@sfjcf.org,121 Steuart St.,,"San Francisco,",Free,94105,Wheelchair,M-F 9am-5pm,"HEB, RUS"
Jewish Family and Children's Services,"Assistance for homeless Jewish persons. Psychotherapy/ psycho- education/groups/prevention classes, AIDS services to Jewish people. Disability services to Jewish people. Serves children, adults, seniors.","HIV/AIDS, Emergency Services, Disability",,415-449-1200,jfcs.org,admin@jfcs.org,2150 Post Street,415-449-3839,"San Francisco, CA",$30-90,94115,Wheelchair,,"HEB, RUS"
Jewish Vocational Services,JVS assists individuals and companies in achieving their employment goals by providing the skills necessary for success in today's workplace. TDD: 415-391-2846,"Job/Employment Services, TDD",,415-391-3600,jvs.org,info@jvs.org,225 Bush St. # 400,415-391-3617,"San Francisco, CA",Free,94104,Wheelchair,M-F 9am-5pm,"RUS, SPA"
Joseph & Herzfeld LLP,"Small employee rights firm with nationwide service. Handle discrimination, retaliation, and sexual harassment cases in the workplace ONLY. Work exclusively on contingency, our fee being 33.33% plus minor case-related expenses.",Legal: Attorney,,866-348-7394,jhllp.com,info@jhllp.com,"233 Broadway, 5th Floor",212-688-2548,"New York, NY",Sliding scale,10279,,M-F 6am-5pm,"SPA, FRE"
Joyce Wu Acupuncture Clinic,"Joyce Wu Acupuncture clinic treats medical conditions at their roots. Chinese medicine grasps the subtleties of how each individual person responds to distress according to their own nature. Services include Chinese and Japanese style acupuncture and herbs. Serves mostly Women and Children, but all genders are welcome","Asian/Pacific Islander, Body Work, Healing Modalities, Somatic Healing",,415-810-3217,joyceacupuncture.com,joyce@joyceacupuncture.com,582 Market St Suite 903,,"San Francisco, CA","Private insurance, SFWAR ref Discount",94104,Wheelchair,By appointment,"CAN, CHI"
Just Cause (formerly Saint Peter's Housing Committee),"St. Peter's Housing Committee is a community institution fighting against displacement grounded in the working-class Latino immigrant community in San Francisco. Services include tenant rights' counseling services, Political organizing and empowerment, Movement building. Serves low income SF tenants.","Housing Assistance, Policy Advocacy, Latina/o & Hispanic",,415-487-9203,cjjc.org,info@cjjc.org,2301 Mission St. Suite #201,415-487-9022,"San Francisco, CA",Free,94110,Wheelchair,"M/W 1pm-5pm, T/Th/F 9am-5pm",SPA
"Kathy Labriola, Counselor, RN","Counselor, nurse, hypno-therapist. Provide these services and couples' counseling primarily for low-income and working class people. Services include support group for people living with disabilities; short-term support/discussion group for people in non-traditional relationships; hypnotherapy & relaxation audiotapes. Serves adult survivors of adult & child sexual assault; ritual abuse; people being stalked.","Disability, Somatic Healing, Counseling: Licensed",,510-841-5307,kathylabriola.com/,anarchofeminist@yahoo.com,1307 University Ave.,,"Berkeley, CA",$20-60/session,94702,,,
KENE ME-WU American Indian DV/ SA Program,"https://sites.google.com/site/kenemewunonprofit/home (Seems to be their website, but looks like they are updating website",CA Rape Crisis Center,800-792-7776,209-984-8602,,kmwfhc@sbcglobal.net,18500 Rawhide Rd,209-984-8608,"Sonora, CA",,95370,,,
"Kimberly Porter, MFT",Therapist works with women who have dissociative identity disorder. Therapist is a multiple who works with multiples. Serves women ages 18+.,Counseling: Licensed,,510-662-6683,,,"4287 Piedmont Ave, #107",,"Oakland, CA",,94611,,,
Kings Community Action Organization,CA Rape Crisis Center- Hanford,CA Rape Crisis Center,877-727-3225,559-582-4386,kcao.org,jcox@kcao.org,1130 N 11th Ave.,559-582-2146,"Hanford, CA",,93230,,M-F 8am-5pm,
La Casa de Las Madres,"No documentation required. Teen crisis line 877-923-0700. Services include 24 hr crisis line, emergency shelter, drop-in counseling for battered women and their children. Peer support groups, advocacy, referrals, child care, emergency food, clothing, job training, child care. Serves women (18+) and their children, pregnant women, lesbians.","Support Groups, Domestic Violence, Hotlines",877-503-1850,415-503-0500,lacasa.org,info@lacasa.org,"1663 Mission Street, Suite 225",415-503-0301,"San Francisco, CA",Free,94103,Wheelchair,M-F 9am-5pm,SPA
La Familia Counseling Service,"Counseling Program, day treatment for families. Adoption program, child abuse prevention, developmental disabilities. Culturally specific, bilingual /bicultural staff.","Counseling: Licensed, Latina/o & Hispanic, Youth",,510-881-5921,lafamiliacounselingservice.com,LaFamiliaHayward@aol.com,26081 Mocine Ave.,510-881-5925,"Hayward, Free",Medi-Cal,94544,Wheelchair,M-TH 9am 8pm F 9-5pm,SPA
La Raza Centro Legal,"Law offices. No documentation required. Focus on immigration, housing, employments discrimination, wage claims. Will give advice & represent in court. Senior law, youth law, citizenship. TDD: 711","Legal: Services, Latina/o & Hispanic, Housing Assistance, Job/Employment Services, TDD  ",,415-575-3500,lrcl.org,info@lrcl.org,474 Valencia St. Suite #295,415-255-7593,"San Francisco, CA",Donation,94103,Wheelchair,M-F 9am-5pm,SPA
"Laine Demetria, M.S., MFT","Marriage and family therapist, working with individuals, couples, and groups, specializing in trauma resolution. Emphasis on LGBT and PTSD issues.",Counseling: Licensed,,415-705-0776,lainedemetria.com/,demetria@mcn.org,"2120 Market St., #209",,"San Francisco, CA","Sliding scale, $60-140",94114,,,
Lake Family Resource Center,CA Rape Crisis Canter- Kelseyville,"CA Rape Crisis Center, Domestic Violence, Counseling: Licensed, Counseling: Peer, Hotlines  ",888-485-7733,707-279-0563,lakefrc.org,leep@lakefrc.org,5350 Main St.,707-279-1601,"Kelesyville, CA",Free,95451,Wheelchair,M-F 8-5,SPA
Larkin Street Youth Center,"Drop in center for homeless & runaway youth. No documentation required. Services include medical clinic tests for STD's, provide care after assault. Provides food, showers, clothes, laundry, counseling, case management, refs, medical clinic, educational & job services. HIV counseling and refs. Serves youth ages 12-17.","Youth, Emergency Services, Shelter/Transitional Housing",,415-673-0911,larkinstreetyouth.org,mail@larkinstreetyouth.org,"701 Sutter Street, Suite 2",415-749-3838,"San Francisco, CA",Free,94109,,8am-6pm WD/8am-4pm WE,SPA
Laurel Jujitsu,"Self defense & martial arts (Jujitsu) classes for women & girls. Yoga and Judo classes also offered. 1-2 hr workshops /presentation about personal safety. Serves clients ages 10-80, teens, LGBT",Self-Defense,,510-530-5043,laureljujitsu.com,,4148 Mac Arthur Blvd.,,"Oakland, CA",,94619,,,"SPA, CHI"
Lawyers' Committee for Civil Rights,"Legal representation for refugees and immigrants. Asylum program provides probono legal representation, money management workshops, reentry legal services. Serves clients ages 18+ in the San Francisco Bay Area","Immigrant Resources, Legal: Attorney",,415-543-9444,lccr.com/,info@lccr.com,"131 Steuart Street, Suite 400",415-543-0296,"San Francisco, CA",Free,94105,,M-F 9am-5:30pm,
Lee Woodward Counseling Center,"A program of Asian American Recovery Services. Services include group intake orientation, pretreatment counseling, day recovery program, continuing care, parenting education, therapeutic childcare, AA meeting with free childcare, family and significant others.","Significant Others, Substance Abuse, Support Groups",,415-776-1001,aars.org/counties/san_francisco/lee-woodward-counseling-center/,,2166 Hayes St. Suite 303,415-776-1066,"San Francisco, CA",Sliding scale,94117,Wheelchair,"M-F 9am-5pm, M/W/F 5pm-9pm","SPA, CHI, KOR, VIE"
Legal Assistance to the Elderly,"Law office which provides free legal services for SF residents 60 & over. No documentation required. Work with wills, tenant rights, restraining orders, Social Security /SSI, Medicare, Medi-cal, Consumers & Debt collection issues. TRO. Adult protective services. Serves victims of Physical Abuse ages 60 and over.","Legal: Services, Elders (55+)",,415-538-3333,laesf.org,info@laesf.org,995 Market St Suite 1400,415-538-3316,"San Francisco, CA",Free,94103,Wheelchair,M-F 9am-5pm,"SPA, CHI, CAN"
Legal Services for Children,"Non-profit law offices providing legal advice/representation and social services for youth under 18. Free, comprehensive, confidential, legal & social representation. Specializes in services to HIV infected families. Also give referrals, information, will represent youth in court.","Youth, Legal: Attorney, Legal: Services",,415-863-3762,lsc-sf.org,,"1254 Market St., 3rd Floor",415-863-7708,"San Francisco, CA",Free,94102,Wheelchair,M-F 9am-5pm,"SPA, Varies"
Legal Services For Prisoners Wth Children (LSPC),"Advocate for the civil rights and empowerment of incarcerated parents, children, family members. Publish manuals: Incarcerated Parents Manual, Manual for Grandparent-Relative Caregivers and Their Advocate, Transportation to Court, and, Suing a Local Public Entity. Serves persons incarcerated in California and their family members.","Incarcerated (Currently/Formerly) Legal: Services, Significant Others",,415-255-7036,prisonerswithchildren.org,info@prisonerswithchildren.org,"1540 Market St., Suite 490",415-552-3150,"San Francisco, CA",Free,94102,Wheelchair,M-F 9am-5pm,SPA
"Linda Sue Edwards, M.S., MFT","Working with adult individuals, couples, and children. Long and short term therapy for relationship issues, incest, co dependency, grief/ loss, self esteem","Counseling: Licensed, Child Sexual Abuse (Child, Client)",,415-221-0911,,,2525 Balboa St #301,,"San Francisco, CA",$30-80,94121,,,
Linea Nocturna (SPA),SPA suicide prevention hotline.,"Latina/o & Hispanic, Suicide, Hotlines",800-303-7432,415-989-5212,,,660 Market St,,"San Francisco, CA",Free,94104,,M-Su 6pm-12am,SPA
Literacy for Environmental Justice (LEJ),"Addresses the ecological and health concerns of Bayview Hunters Point and the surrounding communities of southeast San Francisco. Provides paid internships to Bayview Hunters Point youth in environmental health, natural ecology, and food security, and offer free hands-on environmental educational programs to schools, colleges and youth programs.","Youth, Policy Advocacy",,415-282-6840,lejyouth.org,info@lejyouth.org,909 Florida,866-909-9466,"San Francisco, CA",Free,94110,Wheelchair,M-F 10am-6pm,"SPA, TGL, FRE"
Liu Hoi-Man,"Somatics healing work and therapeutic bodywork. Focusing on healing personal and social trauma. Serves GLBTQII adults, immigrants.","Body Work, Somatic Healing, LGBQQ",,415-297-1987,,liuhoiman@yahoo.com,"810 Gonzalez Dr., 7J",,"San Francisco, CA",$80 amd s;iding scale,94132,Wheelchair,,CAN
Live Violence Free,CA Rape Crisis Center- S. lake Tahoe. Alt Crisis Line- 530-544-4444,CA Rape Crisis Center,530-544-4444,530-544-2118,liveviolencefree.org,info@iveviolencefree.org,2941 Lake Tahoe Blvd.,530-542-7624,"S. lake Tahoe, CA",,96150,,,
Lutheran Care for the Aging,Housing assistance from rent subsidies to one-time grants to seniors.,"Elders (55+), Shelter/Transitional Housing",,415-441-7777,,,1031 Franklin St.,,"San Francisco, CA",Free,94109,,M-F 8am-12pm,
Lyon-Martin Women's Health Services,"Access to healthcare for all women and transgender individuals. Services include primary care, gynecology, primary care for HIV+ women, breast cancer early detection, support groups, community forums, healthcare for the homeless, gender reassignment, smoking cessation classes, substance abuse education. Serves all women ages 18+/emancipated, esp: lesbians, women of color, low income, elder, trans and with disabilities","Medical/Health Services, HIV/AIDS",,415-565-7667,lyon-martin.org,info@lyon-martin.org,1748 Market St. Suite #201,415-252-7512,"San Francisco, CA","Private insurance, Sliding scale",94102,Wheelchair,"M-Tu 11am-7pm, W-F 9am- 5:30pm",SPA
LYRIC (Lavender Youth Rec & Info Center),"Community center for GLBTQA youth. Services include women's and men's groups. (Outside of Bay Area call 1-800-246 PRIDE), volunteer training, peer health education, academic tutoring, after school programs, job training, leadership programs. Serves all lesbian, bisexual, transgender & questioning youth ages 24-. TDD: 415-431-8812","Youth, LGBQQ, TDD",,415-703-6150,lyric.org,lyricinfo@lyric.org,127 Collingwood St.,415-703-6153,"San Francisco, CA",Free,94114,,M-F 11am-6pm,"SPA, TGL, HEB, ASL"
Magnet - Check Your Dipstick,"Health Center. Provides confidential STD services, HIV testing, anonymous HIV testing",Medical/Health Services,,415-581-1600,magnetsf.org,info@magnetsf.org,4122 18th St.,415-581-1610,"San Francisco, CA",,94114,,"Tu 10am-6pm, W-Sa 10am-8pm",
Maitri,"helps families from South Asia (Bangladesh, India, Nepal, Pakistan, Sri Lanka among others) facing domestic violence, emotional abuse, cultural alienation, human trafficking or family conflict. Services include peer Support & Counseling, Individual Counseling, Support Group, Transition house, Translation & Interpretation from English to South Asian languages, Community education workshops. Other: 408-436-8398.",Domestic Violence,1-888-862-4874,408-436-8393,maitri.org/,maitri@maitri.org,PO Box: 697,408-503-0887,"Santa Clara, CA",Free,95052,,,
Maitri Compassionate Care,"Maitri provides compassionate residential care to men and women in need of hospice or 24-hour care and cultivates the deepest respect and love for life among its residents and caregivers. Maitri is the only AIDS-specific residential care facility in California focusing on the underserved community of those dying of or severely debilitated by AIDS. Serves all ages 18+ with an AIDS diagnosis or disabling HIV. Must be a San Francisco resident, have 24-hour care need, skilled care need, or hospice care need, have annual income of less than $34,800.","24-Hour Services, HIV/AIDS",415-558-3000,415-558-3000,maitrisf.org/care/,info@maitrisf.org,401 Duboce Ave.,415-558-3010,"San Francisco, CA",,94117,,,
Male Survivor,"Information for male survivors, referrals, educational and online peer support.","Male Survivors, Counseling: Peer",,,malesurvivor.org,http://malesurvivor.org/contact-us.html,4768 Broadway #527,,"New York, NY",,10034,,,
